Chr	Start	End	fill	species	size	color
1	0	314402879	cccccc	X_uni	12	black
2	0	232720962	cccccc	X_uni	12	black
3	0	199476799	cccccc	X_uni	12	black
4	0	118644157	cccccc	X_uni	12	black
5	0	111173977	cccccc	X_uni	12	black
6	0	87927072	cccccc	X_uni	12	black
7	0	80570042	cccccc	X_uni	12	black
8	0	73655059	cccccc	X_uni	12	black
9	0	27403517	cccccc	X_uni	12	black
10	0	25471716	cccccc	X_uni	12	black
11	0	24952846	cccccc	X_uni	12	black
12	0	22765335	cccccc	X_uni	12	black
13	0	21936186	cccccc	X_uni	12	black
14	0	19691289	cccccc	X_uni	12	black
15	0	17115312	cccccc	X_uni	12	black
16	0	12748302	cccccc	X_uni	12	black
17	0	11338441	cccccc	X_uni	12	black
18	0	10817355	cccccc	X_uni	12	black
