Chr	Start	End	fill	species	size	color
1	0	362934503	cccccc	V_ber	12	black
2	0	290632359	cccccc	V_ber	12	black
3	0	218396773	cccccc	V_ber	12	black
4	0	134003728	cccccc	V_ber	12	black
5	0	123508217	cccccc	V_ber	12	black
6	0	104746563	cccccc	V_ber	12	black
7	0	92563901	cccccc	V_ber	12	black
8	0	80608870	cccccc	V_ber	12	black
9	0	76641710	cccccc	V_ber	12	black
10	0	26572241	cccccc	V_ber	12	black
11	0	26263919	cccccc	V_ber	12	black
12	0	23416248	cccccc	V_ber	12	black
13	0	22185999	cccccc	V_ber	12	black
14	0	21631877	cccccc	V_ber	12	black
15	0	19917953	cccccc	V_ber	12	black
16	0	14445344	cccccc	V_ber	12	black
17	0	12629147	cccccc	V_ber	12	black
18	0	10453601	cccccc	V_ber	12	black
19	0	7208732	cccccc	V_ber	12	black
