Chr	Start	End	fill	species	size	color
1	0	359319279	cccccc	C_ada	12	black
2	0	285957687	cccccc	C_ada	12	black
3	0	208942360	cccccc	C_ada	12	black
4	0	145581062	cccccc	C_ada	12	black
5	0	127879739	cccccc	C_ada	12	black
6	0	106188508	cccccc	C_ada	12	black
7	0	95383387	cccccc	C_ada	12	black
8	0	86380770	cccccc	C_ada	12	black
9	0	65758099	cccccc	C_ada	12	black
10	0	31547396	cccccc	C_ada	12	black
11	0	27790276	cccccc	C_ada	12	black
12	0	26765526	cccccc	C_ada	12	black
13	0	24509954	cccccc	C_ada	12	black
14	0	23599393	cccccc	C_ada	12	black
15	0	21072252	cccccc	C_ada	12	black
16	0	16578197	cccccc	C_ada	12	black
17	0	14647664	cccccc	C_ada	12	black
18	0	13214695	cccccc	C_ada	12	black
19	0	13196498	cccccc	C_ada	12	black
