Species_1	Start_1	End_1	Species_2	Start_2	End_2	fill
1	65746531	65838890	1	68577354	68601312	0d0887
1	148936096	149069608	1	155927062	156069592	0d0887
8	42966448	43092062	8	45532848	45651938	ad2793
5	21571446	21593801	5	105620836	105643421	7201a8
1	198202236	198243518	1	212424992	212468312	0d0887
2	191945511	192002093	2	80896896	80959443	2e0595
14	14408711	14503783	15	17287624	17449880	f58b47
4	22456142	22582721	4	23506486	23632988	5c01a6
1	270038753	270125470	1	286035843	286115674	0d0887
1	126070166	126166134	1	131398531	131464974	0d0887
14	5859568	5915779	15	5886228	5938136	f58b47
1	310054045	310226185	1	328423010	328577147	0d0887
7	41879020	42009147	7	51595216	51759914	9c179e
5	24709095	24743371	5	102257173	102290146	7201a8
1	239740195	239799764	1	255117096	255191214	0d0887
4	56879587	56937975	4	61682030	61735251	5c01a6
3	64068408	64111453	3	66012850	66055317	46039f
3	65933528	65979642	3	67927312	67982458	46039f
2	47369246	47409108	2	236917027	236958045	2e0595
3	197899120	197959211	3	203984779	204042142	46039f
2	198317496	198392263	2	74227393	74314874	2e0595
5	77784247	77837529	5	46124619	46161747	7201a8
12	11705357	11955692	13	6475692	6718864	e3685f
1	40467695	40605557	1	41458666	41594219	0d0887
16	10002106	10041753	16	13370188	13409713	fdb42f
3	153841800	153945808	3	158208996	158320459	46039f
13	13692774	13730122	14	5991888	6029747	ed7953
8	55648999	55715066	8	59907989	59997601	ad2793
17	7820850	7849822	19	3435791	3461627	fdca26
1	227650323	227674007	1	242807361	242829321	0d0887
1	55495909	55568752	1	57615305	57690939	0d0887
17	1875274	1969990	19	9460286	9563998	fdca26
1	337045295	337197606	1	355785771	355917724	0d0887
2	152269843	152317762	2	123403535	123457906	2e0595
1	173115847	173225833	1	183547995	183683763	0d0887
7	88785669	88883444	7	4661985	4748679	9c179e
1	226244444	226301853	1	241436550	241491391	0d0887
7	30649792	30742536	7	64424934	64516271	9c179e
16	13020831	13048086	16	16339634	16367252	fdb42f
1	254251440	254273160	1	269984583	270005618	0d0887
1	340441203	340457170	1	359094105	359110072	0d0887
7	15905138	16030611	7	79945550	80086946	9c179e
1	63230614	63248112	1	65891983	65919318	0d0887
1	139247389	139332755	1	145578390	145643973	0d0887
