Chr	Start	End	fill	species	size	color
1	0	340623792	0d0887	G_ussuri	12	black
2	0	272076671	2e0595	G_ussuri	12	black
3	0	203076995	46039f	G_ussuri	12	black
4	0	134406080	5c01a6	G_ussuri	12	black
5	0	122805809	7201a8	G_ussuri	12	black
6	0	99259852	8808a6	G_ussuri	12	black
7	0	93675145	9c179e	G_ussuri	12	black
8	0	79146131	ad2793	G_ussuri	12	black
9	0	57381734	bd3786	G_ussuri	12	black
10	0	27181165	cc4778	G_ussuri	12	black
11	0	24199037	d8576b	G_ussuri	12	black
12	0	21009094	e3685f	G_ussuri	12	black
13	0	19255245	ed7953	G_ussuri	12	black
14	0	17611041	f58b47	G_ussuri	12	black
15	0	17175000	fb9f3a	G_ussuri	12	black
16	0	13149378	fdb42f	G_ussuri	12	black
17	0	11289862	fdca26	G_ussuri	12	black
18	0	9731100	f8e125	G_ussuri	12	black
19	0	8920326	f0f921	G_ussuri	12	black
1	0	351723742	cccccc	E_sch	12	black
2	0	289643054	cccccc	E_sch	12	black
3	0	215196393	cccccc	E_sch	12	black
4	0	151613607	cccccc	E_sch	12	black
5	0	127435586	cccccc	E_sch	12	black
6	0	105738914	cccccc	E_sch	12	black
7	0	91229856	cccccc	E_sch	12	black
8	0	83172420	cccccc	E_sch	12	black
9	0	32746950	cccccc	E_sch	12	black
10	0	30302796	cccccc	E_sch	12	black
11	0	26067131	cccccc	E_sch	12	black
12	0	25642240	cccccc	E_sch	12	black
13	0	24018652	cccccc	E_sch	12	black
14	0	21437728	cccccc	E_sch	12	black
15	0	17243744	cccccc	E_sch	12	black
16	0	14625506	cccccc	E_sch	12	black
17	0	13752226	cccccc	E_sch	12	black
18	0	10484500	cccccc	E_sch	12	black
