Chr	Start	End	fill	species	size	color
1	0	418414598	cccccc	A_dia	12	black
2	0	271189862	cccccc	A_dia	12	black
3	0	265014500	cccccc	A_dia	12	black
4	0	137483984	cccccc	A_dia	12	black
5	0	120706341	cccccc	A_dia	12	black
6	0	100956017	cccccc	A_dia	12	black
7	0	96283552	cccccc	A_dia	12	black
8	0	76807350	cccccc	A_dia	12	black
9	0	63356753	cccccc	A_dia	12	black
10	0	40011276	cccccc	A_dia	12	black
11	0	33289409	cccccc	A_dia	12	black
12	0	31600865	cccccc	A_dia	12	black
13	0	29223000	cccccc	A_dia	12	black
14	0	27895500	cccccc	A_dia	12	black
15	0	26604500	cccccc	A_dia	12	black
16	0	24443643	cccccc	A_dia	12	black
17	0	7985000	cccccc	A_dia	12	black
