Species_1	Start_1	End_1	Species_2	Start_2	End_2	fill
1	65746531	65838890	1	56020399	56044685	placeholder
1	148936096	149069608	1	135363184	135491076	placeholder
8	42966448	43092062	8	35298026	35410704	placeholder
5	21571446	21593801	5	90575715	90598781	placeholder
1	198202236	198243518	1	187462924	187505702	placeholder
2	191945511	192002093	2	58540971	58601151	placeholder
4	22456142	22582721	4	18351197	18468575	placeholder
1	270038753	270125470	1	252259118	252336957	placeholder
1	126070166	126166134	1	114334050	114431988	placeholder
7	41879020	42009147	7	36715398	36850606	placeholder
5	24709095	24743371	5	87489450	87522290	placeholder
1	239740195	239799764	1	222073575	222129170	placeholder
4	56879587	56937975	4	52186219	52239645	placeholder
3	64068408	64111453	3	55623615	55662864	placeholder
3	65933528	65979642	3	57406483	57451634	placeholder
2	47369246	47409108	2	195047611	195087191	placeholder
2	198317496	198392263	2	52548779	52616037	placeholder
5	77784247	77837529	5	40062138	40089970	placeholder
12	11705357	11955692	12	5884666	6084713	placeholder
1	40467695	40605557	1	30189384	30319598	placeholder
16	10002106	10041753	16	7216381	7252208	placeholder
3	153841800	153945808	3	139600686	139691992	placeholder
13	13692774	13730122	14	3163458	3202563	placeholder
8	55648999	55715066	8	46862296	46950993	placeholder
17	7820850	7849822	15	8476809	8501843	placeholder
1	227650323	227674007	1	210267602	210290367	placeholder
1	55495909	55568752	1	45715832	45778065	placeholder
17	1875274	1969990	2	84516745	84553689	placeholder
1	337045295	337197606	17	95467	215320	placeholder
2	152269843	152317762	2	97244544	97289162	placeholder
1	173115847	173225833	1	159220385	159326192	placeholder
1	226244444	226301853	1	208980956	209034735	placeholder
7	30649792	30742536	7	47885134	47957679	placeholder
16	13020831	13048086	16	10892722	10920176	placeholder
1	254251440	254273160	1	236955029	236977025	placeholder
1	340441203	340457170	2	36706243	36722541	placeholder
7	15905138	16030611	7	62118069	62239479	placeholder
1	63230614	63248112	1	53114697	53141646	placeholder
15	14731807	14746046	11	2561249	2576236	placeholder
5	52903400	52945682	5	61224834	61266375	placeholder
4	19829077	19898892	4	15472118	15540526	placeholder
1	143309865	143409578	1	129913235	130012640	placeholder
2	90211784	90306194	2	157528709	157616105	placeholder
2	103475212	103503025	2	144162241	144174855	placeholder
4	57144996	57220345	4	52462705	52518253	placeholder
2	243389519	243490749	2	5642033	5833800	placeholder
16	11856908	11882451	16	9685365	9739381	placeholder
7	29771975	29948810	7	48697605	48870416	placeholder
