Species_1	Start_1	End_1	Species_2	Start_2	End_2	fill
1	65746531	65838890	1	69444691	69478162	0d0887
1	148936096	149069608	1	157169005	157309916	0d0887
8	42966448	43092062	8	33908890	34034814	ad2793
5	21571446	21593801	5	103286717	103312406	7201a8
1	198202236	198243518	1	211949868	211992496	0d0887
2	191945511	192002093	2	203926969	203991268	2e0595
14	14408711	14503783	15	2589920	2742394	f58b47
4	22456142	22582721	4	22871511	23002779	5c01a6
1	270038753	270125470	1	287808177	287891528	0d0887
1	126070166	126166134	1	133230077	133305587	0d0887
14	5859568	5915779	15	11173563	11230570	f58b47
1	310054045	310226185	1	331876722	332031368	0d0887
7	41879020	42009147	7	42917473	43056359	9c179e
5	24709095	24743371	5	100008363	100044592	7201a8
1	239740195	239799764	1	255640821	255706593	0d0887
3	64068408	64111453	3	145584043	145617350	46039f
3	65933528	65979642	3	143544657	143579159	46039f
2	47369246	47409108	2	48728629	48779797	2e0595
3	197899120	197959211	3	3951576	3994309	46039f
2	198317496	198392263	2	260767886	260838004	2e0595
5	77784247	77837529	5	46588645	46639164	7201a8
12	11705357	11955692	13	8593822	8843802	e3685f
1	40467695	40605557	1	41338180	41478870	0d0887
16	10002106	10041753	16	3212356	3255754	fdb42f
3	153841800	153945808	3	50413568	50532316	46039f
13	13692774	13730122	12	4639413	4678059	ed7953
8	55648999	55715066	8	20642637	20717333	ad2793
1	227650323	227674007	1	242982893	243007659	0d0887
1	55495909	55568752	1	57958084	58025674	0d0887
17	1875274	1969990	17	7682349	7783629	fdca26
1	337045295	337197606	1	359007689	359144599	0d0887
2	152269843	152317762	2	159913028	159958802	2e0595
1	173115847	173225833	1	183876038	184023492	0d0887
7	88785669	88883444	7	86758840	86845641	9c179e
1	226244444	226301853	1	241438834	241492227	0d0887
7	30649792	30742536	7	30844743	30921272	9c179e
16	13020831	13048086	16	78715	106957	fdb42f
1	254251440	254273160	1	271237214	271258437	0d0887
1	340441203	340457170	1	361776548	361792780	0d0887
7	15905138	16030611	7	14848310	14970155	9c179e
1	63230614	63248112	1	66595309	66624078	0d0887
1	139247389	139332755	1	147383374	147418976	0d0887
15	14731807	14746046	14	18255428	18270379	fb9f3a
5	52903400	52945682	5	70221413	70268956	7201a8
4	19829077	19898892	4	19710044	19808944	5c01a6
1	143309865	143409578	1	151368423	151468599	0d0887
2	90211784	90306194	2	91862146	91961182	2e0595
16	8925450	9028643	16	3961226	4077250	fdb42f
2	103475212	103503025	2	105960419	105969287	2e0595
4	57144996	57220345	4	61239968	61323939	5c01a6
6	85593186	85678509	6	16904513	16984176	8808a6
2	243389519	243490749	2	253108504	253224520	2e0595
16	11856908	11882451	16	1228878	1252887	fdb42f
1	333403470	333571816	1	355809095	355957671	0d0887
7	29771975	29948810	7	29831538	30035484	9c179e
14	1843998	1869919	15	15064648	15089181	f58b47
1	270326380	270370401	1	288112394	288158173	0d0887
5	38723730	38762385	5	85096838	85146711	7201a8
1	17345116	17409434	1	16412066	16482348	0d0887
1	276478812	276524718	1	294662746	294710266	0d0887
16	10138522	10204439	16	3027748	3099381	fdb42f
1	217716540	217754577	1	232368282	232406214	0d0887
1	273477741	273804175	1	291367437	291725338	0d0887
6	30925131	30997296	6	71797378	71869654	8808a6
2	67273630	67354026	2	70045230	70135655	2e0595
8	41225517	41275540	8	35925038	35983671	ad2793
15	4578186	4642046	14	8600535	8676485	fb9f3a
2	156393146	156424112	2	164531512	164566569	2e0595
1	71974059	72090517	1	75793039	75915757	0d0887
6	89352107	89457309	6	10826235	11124319	8808a6
3	87273107	87430496	3	120692916	120855999	46039f
8	21681298	21700178	8	58130919	58156155	ad2793
5	119878978	119912385	5	2687756	2717329	7201a8
7	31477671	31525503	7	31838006	31871926	9c179e
1	41301800	41347926	1	42277858	42317650	0d0887
4	93612604	93700625	4	97575236	97697399	5c01a6
6	97386734	97463640	6	2114070	2200697	8808a6
1	130705502	130730074	1	138115684	138146686	0d0887
14	10099259	10150034	15	6991572	7041270	f58b47
1	39647603	39686272	1	40566021	40606625	0d0887
6	70123998	70172573	6	29667500	29723271	8808a6
2	158407906	158505750	2	166665368	166767703	2e0595
2	100057344	100092342	2	102049883	102082024	2e0595
15	6795598	6816406	14	11129191	11150794	fb9f3a
1	116661377	116673484	1	123072330	123085328	0d0887
2	217968864	218317612	2	225502815	225873096	2e0595
14	14554076	14601311	15	2496525	2547716	f58b47
1	65642528	65680170	1	69265229	69300903	0d0887
1	277621622	277638293	1	295865834	295882560	0d0887
10	16434487	16447306	11	16353087	16363555	cc4778
2	84884676	84975111	2	87276340	87348242	2e0595
15	1758966	1793963	14	4179944	4248908	fb9f3a
7	21239400	21296110	7	20524852	20585725	9c179e
2	155944757	155999368	2	164014616	164108203	2e0595
1	265601318	265694508	1	283154708	283249847	0d0887
7	89923509	89977359	7	87909242	87953254	9c179e
3	57057604	57110484	3	153104294	153162604	46039f
7	46611936	46651584	7	47154941	47193374	9c179e
5	85860881	85961163	5	38206986	38354625	7201a8
14	16075595	16123807	15	957858	1020844	f58b47
19	5983239	6019948	19	3129776	3154351	f0f921
8	75119664	75143890	8	3317071	3340788	ad2793
17	10092750	10111182	17	932315	952169	fdca26
3	25696020	25727393	3	187981514	188015462	46039f
1	18148351	18207975	1	17257198	17320632	0d0887
1	286115006	286261800	1	305418278	305570565	0d0887
8	74273556	74304933	8	3966185	3995042	ad2793
1	116303632	116347770	1	122709228	122746684	0d0887
14	6397046	6421387	15	10789111	10814275	f58b47
13	474334	546105	12	21755350	21798807	ed7953
1	339620078	339678289	1	361146210	361190635	0d0887
2	199267891	199304830	2	259767697	259806947	2e0595
1	340401255	340412468	1	361727220	361742763	0d0887
14	8248162	8293241	15	8858399	8901496	f58b47
1	13668449	13726046	1	12582163	12637208	0d0887
3	152339458	152404353	3	52092453	52156801	46039f
5	8042920	8068159	5	117616967	117644107	7201a8
2	133124550	133156532	2	139036067	139068768	2e0595
12	4882637	4944016	13	15822428	15851916	e3685f
14	9854934	9888403	15	7255675	7289960	f58b47
7	16305383	16355037	7	15257630	15307751	9c179e
3	114830030	114916385	3	92916375	92963631	46039f
5	109376910	109521772	5	12772465	12923614	7201a8
1	255446735	255500403	1	272550134	272604531	0d0887
1	268763022	268834137	1	286454640	286522836	0d0887
2	206213535	206273600	2	212814353	212873408	2e0595
8	60638174	60798671	8	16696560	16839527	ad2793
5	36410076	36467420	5	87647763	87699679	7201a8
1	71525710	71607930	1	75329993	75407607	0d0887
1	62339399	62392219	1	65669665	65715953	0d0887
7	52747782	52867614	7	51306150	51382510	9c179e
1	272654955	272721331	1	290537439	290605688	0d0887
1	166157898	166199410	1	175555310	175611331	0d0887
6	31417461	31463732	6	71285691	71333614	8808a6
17	9549693	9575015	17	1506884	1535495	fdca26
3	152262743	152301892	3	52197967	52238554	46039f
1	64641729	64776176	1	68159970	68291246	0d0887
1	332636091	332794298	1	355123255	355251017	0d0887
19	241781	256145	19	7928313	7936559	f0f921
2	11596379	11609758	2	9541231	9553885	2e0595
3	49301918	49375407	3	161629869	161722281	46039f
3	142593126	142633794	3	62720716	62756995	46039f
3	66422137	66495018	3	143135584	143209125	46039f
5	70801597	70858812	5	52103998	52167414	7201a8
17	4936784	5003635	17	5344761	5376067	fdca26
1	238870745	238912380	1	254804666	254867949	0d0887
15	1857484	1871877	14	4353386	4378645	fb9f3a
5	50690613	50767089	5	72530025	72626182	7201a8
3	180826430	180940954	3	21329518	21467359	46039f
1	176836776	176918133	1	189358764	189425703	0d0887
3	123249956	123295873	3	83767179	83816815	46039f
5	67763398	67802533	5	55077109	55109895	7201a8
3	39113724	39157371	3	172758610	172799671	46039f
1	53694873	53742432	1	55993065	56043031	0d0887
5	51303523	51358748	5	71967315	72021661	7201a8
1	262199614	262249198	1	279573115	279618604	0d0887
5	91215382	91237293	5	32300242	32324059	7201a8
14	220670	238661	15	16720591	16738293	f58b47
16	1772462	1839689	16	11538385	11606134	fdb42f
2	95579626	95619839	2	97460011	97496276	2e0595
3	130717001	130760659	3	75271718	75321684	46039f
4	90938011	90962116	4	95131474	95155813	5c01a6
5	5528377	5604304	5	120014291	120090592	7201a8
6	69893270	69897716	6	29941704	29946156	8808a6
1	288140427	288174228	1	307495662	307527178	0d0887
8	66446636	66703663	8	11077663	11361425	ad2793
15	11631271	11661660	14	15781291	15811409	fb9f3a
8	25544782	25586932	8	53836984	53880891	ad2793
1	257459716	257510039	1	274662963	274713826	0d0887
6	43290076	43341584	6	58587877	58647924	8808a6
16	6745275	6768804	16	6394219	6421524	fdb42f
2	31532027	31598392	2	31140538	31215393	2e0595
7	65935264	66036415	7	66626437	66743582	9c179e
10	5047427	5106248	11	7915671	7964276	cc4778
11	22591404	22598268	10	469431	476281	d8576b
1	55155058	55168832	1	57593004	57606807	0d0887
8	76739548	76786316	8	3089354	3130623	ad2793
1	221445330	221488744	1	236288746	236336560	0d0887
1	277656680	277685325	1	295903735	295929299	0d0887
5	122421188	122467925	5	374637	441054	7201a8
3	169968203	170016443	3	32941348	33002137	46039f
2	203692098	203727305	2	210024890	210065923	2e0595
1	159387198	159481033	1	168583309	168680265	0d0887
2	243252377	243294448	2	252971525	253012335	2e0595
7	88174371	88409672	7	86197140	86414527	9c179e
2	194020657	194049214	2	206198353	206235484	2e0595
12	8498031	8517940	13	11922437	11939338	e3685f
11	17532655	17569365	10	5082507	5116677	d8576b
7	56448764	56508055	7	56273212	56347292	9c179e
4	87252174	87311993	4	91279869	91335628	5c01a6
17	3356830	3388473	17	6709314	6741439	fdca26
5	26598873	26708861	5	97953989	98057031	7201a8
1	296534198	296569541	1	316839689	316890553	0d0887
7	37143476	37191008	7	37851191	37912198	9c179e
3	33815248	33870085	3	178936479	178992637	46039f
14	4705538	4723856	15	12406996	12428062	f58b47
4	5290407	5335474	4	4193190	4237965	5c01a6
1	260910412	260955704	1	278383653	278424811	0d0887
1	212036948	212125948	1	226035317	226120274	0d0887
3	63498087	63531695	3	146206507	146240201	46039f
1	222821071	222886448	1	237742927	237852137	0d0887
2	235291097	235552557	2	244560820	244805131	2e0595
13	18053883	18076417	12	772452	793189	ed7953
6	37761343	37834443	6	64296885	64374755	8808a6
15	14152287	14166274	14	17751569	17761441	fb9f3a
1	137800680	137829527	1	145796490	145827330	0d0887
1	64357789	64413404	1	67865920	67933851	0d0887
13	18324394	18342253	12	512070	536417	ed7953
2	9338111	9358535	2	7420783	7449555	2e0595
1	170590766	170751966	1	180476400	180634889	0d0887
1	114341305	114376522	1	120645768	120681818	0d0887
2	69157800	69205702	2	72068492	72135070	2e0595
1	59090684	59137284	1	62024835	62070592	0d0887
2	203790679	203816443	2	210128665	210154054	2e0595
1	323234194	323353163	1	345343333	345470124	0d0887
8	36952098	36993073	8	40951419	40986344	ad2793
10	6545356	6594373	11	9378228	9417262	cc4778
5	58731851	58784444	5	64576976	64639883	7201a8
7	14501130	14527304	7	13408906	13436070	9c179e
3	7944295	8038861	3	206918553	207019833	46039f
1	226703011	226743012	1	241940611	241978013	0d0887
1	92879617	92922599	1	98608065	98647263	0d0887
2	199901084	199946125	2	259080659	259124201	2e0595
1	62899545	62916979	1	66262197	66285043	0d0887
7	65511714	65600287	7	66127194	66251890	9c179e
2	97487021	97514881	2	99488935	99515261	2e0595
2	141510596	141569048	2	148276544	148344978	2e0595
1	296633681	296728182	1	316973779	317058805	0d0887
3	120154147	120199347	3	87173284	87221597	46039f
1	299037803	299126962	1	319682240	319770808	0d0887
16	5011379	5053912	16	8142723	8186893	fdb42f
1	179138712	179176680	1	191411799	191440619	0d0887
14	7308527	7343068	15	9820178	9849204	f58b47
4	51608750	51641624	4	55218190	55251997	5c01a6
15	1899943	2021609	14	4443005	4637551	fb9f3a
2	190077598	190154079	2	201973597	202045235	2e0595
2	155294036	155338081	2	163374209	163421696	2e0595
1	211828633	211922561	1	225813499	225915313	0d0887
1	256613682	256721885	1	273776591	273897054	0d0887
15	7337377	7389348	14	11722657	11774747	fb9f3a
1	249005722	249048972	1	265811652	265857351	0d0887
2	148811305	149196028	2	156252567	156661303	2e0595
1	225929935	225969758	1	241112382	241151261	0d0887
2	67452584	67521925	2	70285497	70305404	2e0595
8	74792764	74835711	8	3615809	3657617	ad2793
1	164234628	164261118	1	173386709	173409912	0d0887
11	15300587	15321220	10	7249135	7270557	d8576b
14	7214832	7264790	15	9894831	9946232	f58b47
3	71242012	71354018	3	137973019	138077841	46039f
8	67712144	67766246	8	9996223	10051605	ad2793
1	146563261	146611757	1	154663680	154709986	0d0887
19	5532872	5559813	19	3523634	3545505	f0f921
1	65842572	65871978	1	69481774	69511453	0d0887
5	100158559	100311027	5	22464612	22650067	7201a8
3	44699290	44918746	3	166432836	166656507	46039f
1	116607547	116631639	1	123015458	123040893	0d0887
5	23250637	23350957	5	101350211	101476756	7201a8
1	302623759	302655942	1	323604259	323652704	0d0887
1	17650518	17720537	1	16717305	16790824	0d0887
14	719665	740263	15	16225344	16245180	f58b47
4	23612693	23640751	4	24128787	24173283	5c01a6
1	26592420	26654162	1	26352624	26419653	0d0887
2	190353589	190376469	2	202286117	202310983	2e0595
3	147386754	147437623	3	57526045	57578265	46039f
7	31115328	31158679	7	31391705	31417433	9c179e
11	11963727	12054570	10	10490659	10565370	d8576b
2	182712477	182757954	2	193818276	193865744	2e0595
15	3377859	3431258	14	6831462	6918897	fb9f3a
3	58309119	58314897	3	151788047	151793878	46039f
1	269844171	269908809	1	287607523	287666625	0d0887
19	4629440	4672443	19	4267985	4302682	f0f921
6	36540287	36567047	6	65753414	65780003	8808a6
1	259388280	259411447	1	276778991	276803656	0d0887
2	199769794	199872773	2	259153677	259277258	2e0595
13	13059948	13078794	12	5230832	5237469	ed7953
15	6517800	6546048	14	10962510	10989630	fb9f3a
6	43150111	43198579	6	58736622	58789024	8808a6
4	84273448	84317475	4	86233230	86279390	5c01a6
4	20123778	20131399	4	20059033	20066560	5c01a6
6	45583401	45606589	6	56155215	56176775	8808a6
1	284215054	284224877	1	303168494	303178120	0d0887
15	16761366	16777795	14	20303755	20320964	fb9f3a
15	11707112	11727607	14	15849268	15867732	fb9f3a
6	22656842	22694996	6	80814988	80855203	8808a6
18	9160510	9165550	18	8673696	8679085	f8e125
3	161020942	161073502	3	42767157	42825215	46039f
3	45471755	45503488	3	165808099	165840945	46039f
19	6412945	6477042	19	2707642	2771328	f0f921
8	48589652	48660041	8	27397563	27500787	ad2793
6	52093880	52121137	6	49368232	49398468	8808a6
3	56826965	56898702	3	153294240	153348553	46039f
1	285975811	286023115	1	305287815	305330875	0d0887
8	23550171	23592750	8	56092800	56151727	ad2793
3	177449269	177543844	3	24791987	24887661	46039f
6	42554280	42646994	6	59344765	59437186	8808a6
4	90968442	90998753	4	95161703	95194253	5c01a6
1	270442240	270521068	1	288242111	288314113	0d0887
6	37963864	37993682	6	64144825	64175965	8808a6
13	3419802	3466320	12	15774007	15852673	ed7953
5	99248350	99300338	5	23562962	23617236	7201a8
1	114613967	114655901	1	120916117	120960761	0d0887
1	326092131	326181486	1	348408829	348503502	0d0887
3	91976442	92185402	3	116505042	116638494	46039f
5	86572881	86627955	5	37539367	37605608	7201a8
2	176341799	176368796	2	186950544	186985678	2e0595
1	250866748	250943357	1	267787335	267865221	0d0887
6	254736	281183	6	102905514	102931689	8808a6
3	136578647	136663095	3	69085717	69167832	46039f
5	57009854	57040207	5	66449796	66481242	7201a8
1	65894818	65952585	1	69535873	69594965	0d0887
3	165989207	166012035	3	37255248	37284757	46039f
3	62739178	62843728	3	146941969	147071917	46039f
4	78522802	78869637	4	81763160	81983049	5c01a6
5	122762927	122769705	5	32931	39680	7201a8
8	38897809	38919812	8	38803409	38825991	ad2793
3	9518619	9636007	3	205203247	205318941	46039f
4	22196146	22239206	4	22606054	22646100	5c01a6
13	12106485	12265297	12	5775041	5926225	ed7953
8	24695495	24718111	8	54850992	54868184	ad2793
1	157045668	157107335	1	165980055	166042869	0d0887
4	131285596	131325384	4	132667302	132699407	5c01a6
18	1007273	1053613	18	1041783	1089906	f8e125
12	15740445	15919202	13	4744541	4845328	e3685f
7	21399659	21476818	7	20688338	20766355	9c179e
3	42347327	42398999	3	169304523	169357789	46039f
2	228443966	228530724	2	236991793	237094294	2e0595
