Chr	Start	End	fill	species	size	color
1	0	343993754	cccccc	C_asp	12	black
2	0	265922563	cccccc	C_asp	12	black
3	0	209480725	cccccc	C_asp	12	black
4	0	119283806	cccccc	C_asp	12	black
5	0	117631150	cccccc	C_asp	12	black
6	0	100805772	cccccc	C_asp	12	black
7	0	84500290	cccccc	C_asp	12	black
8	0	78784299	cccccc	C_asp	12	black
9	0	27872941	cccccc	C_asp	12	black
10	0	27116933	cccccc	C_asp	12	black
11	0	25783037	cccccc	C_asp	12	black
12	0	25223809	cccccc	C_asp	12	black
13	0	23823530	cccccc	C_asp	12	black
14	0	20477136	cccccc	C_asp	12	black
15	0	17224316	cccccc	C_asp	12	black
16	0	12371328	cccccc	C_asp	12	black
17	0	11828921	cccccc	C_asp	12	black
18	0	10138715	cccccc	C_asp	12	black
