Species_1	Start_1	End_1	Species_2	Start_2	End_2	fill
1	65746531	65838890	1	46887893	46981904	placeholder
1	148936096	149069608	1	128885546	129023952	placeholder
8	42966448	43092062	8	42207679	42313777	placeholder
5	21571446	21593801	4	21337322	21360051	placeholder
1	198202236	198243518	1	177473611	177516993	placeholder
2	191945511	192002093	2	70474023	70530773	placeholder
14	14408711	14503783	12	2679936	2775325	placeholder
4	22456142	22582721	5	21413371	21527140	placeholder
1	270038753	270125470	1	248255597	248337166	placeholder
1	126070166	126166134	1	106328226	106398343	placeholder
14	5859568	5915779	12	11084934	11138872	placeholder
1	310054045	310226185	1	288323974	288481994	placeholder
7	41879020	42009147	7	39330341	39455102	placeholder
5	24709095	24743371	4	24418232	24451157	placeholder
1	239740195	239799764	1	218034988	218115993	placeholder
4	56879587	56937975	5	55401619	55460978	placeholder
3	64068408	64111453	3	127624797	127683522	placeholder
3	65933528	65979642	3	125771923	125819560	placeholder
2	47369246	47409108	2	208238874	208285484	placeholder
3	197899120	197959211	16	4922027	4984411	placeholder
2	198317496	198392263	2	64105302	64148539	placeholder
5	77784247	77837529	4	76179907	76220100	placeholder
12	11705357	11955692	11	11540315	11782374	placeholder
1	40467695	40605557	1	21468821	21604461	placeholder
16	10002106	10041753	15	3034606	3072944	placeholder
3	153841800	153945808	3	39210577	39321046	placeholder
13	13692774	13730122	10	18783956	18820732	placeholder
8	55648999	55715066	8	54627480	54693348	placeholder
17	7820850	7849822	19	3003962	3034489	placeholder
1	227650323	227674007	1	206186203	206207764	placeholder
1	55495909	55568752	1	36532202	36610926	placeholder
17	1875274	1969990	2	94833812	94886325	placeholder
1	337045295	337197606	1	314630752	314771245	placeholder
2	152269843	152317762	2	107908308	107954882	placeholder
1	173115847	173225833	1	152845865	152951446	placeholder
7	88785669	88883444	7	83097349	83190995	placeholder
1	226244444	226301853	1	204852051	204909563	placeholder
7	30649792	30742536	7	28390252	28491754	placeholder
16	13020831	13048086	15	51731	79068	placeholder
1	254251440	254273160	1	232341544	232362553	placeholder
1	340441203	340457170	1	317966455	317982370	placeholder
7	15905138	16030611	7	14175181	14296838	placeholder
1	63230614	63248112	1	44369645	44398200	placeholder
1	139247389	139332755	1	119497669	119545201	placeholder
15	14731807	14746046	13	14475287	14489612	placeholder
5	52903400	52945682	4	52229253	52269453	placeholder
4	19829077	19898892	5	19093028	19171182	placeholder
1	143309865	143409578	1	123337636	123437077	placeholder
2	90211784	90306194	3	73038947	73147792	placeholder
16	8925450	9028643	15	4039704	4143935	placeholder
2	103475212	103503025	2	154477271	154499287	placeholder
