Chr	Start	End	fill	species	size	color
1	0	351723742	cccccc	E_sch	12	black
2	0	289643054	cccccc	E_sch	12	black
3	0	215196393	cccccc	E_sch	12	black
4	0	151613607	cccccc	E_sch	12	black
5	0	127435586	cccccc	E_sch	12	black
6	0	105738914	cccccc	E_sch	12	black
7	0	91229856	cccccc	E_sch	12	black
8	0	83172420	cccccc	E_sch	12	black
9	0	32746950	cccccc	E_sch	12	black
10	0	30302796	cccccc	E_sch	12	black
11	0	26067131	cccccc	E_sch	12	black
12	0	25642240	cccccc	E_sch	12	black
13	0	24018652	cccccc	E_sch	12	black
14	0	21437728	cccccc	E_sch	12	black
15	0	17243744	cccccc	E_sch	12	black
16	0	14625506	cccccc	E_sch	12	black
17	0	13752226	cccccc	E_sch	12	black
18	0	10484500	cccccc	E_sch	12	black
