genome	chr	length	plotOrd	gapSize	chrstart	med	x1	x2	y1	y2	chrLab
Argyrophis_diardii	GWHBWDT00000001	418332175	1	6040927	1	931056657.5	-931056656.5	-512724481.5	1.04192708333333	0.958072916666667	GWHBWDT00000001
Argyrophis_diardii	GWHBWDT00000002	271164923	2	6040927	424373104	931056657.5	-506683553.5	-235518630.5	1.04192708333333	0.958072916666667	GWHBWDT00000002
Argyrophis_diardii	GWHBWDT00000003	265002340	3	6040927	701578955	931056657.5	-229477702.5	35524637.5	1.04192708333333	0.958072916666667	GWHBWDT00000003
Argyrophis_diardii	GWHBWDT00000004	137349469	4	6040927	972622223	931056657.5	41565565.5	178915034.5	1.04192708333333	0.958072916666667	GWHBWDT00000004
Argyrophis_diardii	GWHBWDT00000005	120638717	5	6040927	1116012620	931056657.5	184955962.5	305594679.5	1.04192708333333	0.958072916666667	GWHBWDT00000005
Argyrophis_diardii	GWHBWDT00000006	100824119	6	6040927	1242692265	931056657.5	311635607.5	412459726.5	1.04192708333333	0.958072916666667	GWHBWDT00000006
Argyrophis_diardii	GWHBWDT00000007	96052093	7	6040927	1349557312	931056657.5	418500654.5	514552747.5	1.04192708333333	0.958072916666667	GWHBWDT00000007
Argyrophis_diardii	GWHBWDT00000012	31552597	8	6040927	1451650333	931056657.5	520593675.5	552146272.5	1.04192708333333	0.958072916666667	GWHBWDT00000012
Argyrophis_diardii	GWHBWDT00000016	24400343	9	6040927	1489243858	931056657.5	558187200.5	582587543.5	1.04192708333333	0.958072916666667	GWHBWDT00000016
Argyrophis_diardii	GWHBWDT00000015	26593985	10	6040927	1519685129	931056657.5	588628471.5	615222456.5	1.04192708333333	0.958072916666667	GWHBWDT00000015
Argyrophis_diardii	GWHBWDT00000014	27862957	11	6040927	1552320042	931056657.5	621263384.5	649126341.5	1.04192708333333	0.958072916666667	GWHBWDT00000014
Argyrophis_diardii	GWHBWDT00000010	39992313	12	6040927	1586223927	931056657.5	655167269.5	695159582.5	1.04192708333333	0.958072916666667	GWHBWDT00000010
Argyrophis_diardii	GWHBWDT00000013	29081897	13	6040927	1632257168	931056657.5	701200510.5	730282407.5	1.04192708333333	0.958072916666667	GWHBWDT00000013
Argyrophis_diardii	GWHBWDT00000017	7840468	14	6040927	1667379993	931056657.5	736323335.5	744163803.5	1.04192708333333	0.958072916666667	GWHBWDT00000017
Argyrophis_diardii	GWHBWDT00000011	33285356	15	6040927	1681261389	931056657.5	750204731.5	783490087.5	1.04192708333333	0.958072916666667	GWHBWDT00000011
Argyrophis_diardii	GWHBWDT00000008	72130502	16	6040927	1720587673	931056657.5	789531015.5	861661517.5	1.04192708333333	0.958072916666667	GWHBWDT00000008
Argyrophis_diardii	GWHBWDT00000009	63354212	17	6040927	1798759103	931056657.5	867702445.5	931056657.5	1.04192708333333	0.958072916666667	GWHBWDT00000009
Bothrops_insularis	CM148030.1	352064676	1	8553104.12222222	1	842382656.538889	-842382655.538889	-490317979.538889	8.04192708333333	7.95807291666667	CM148030.1
Bothrops_insularis	CM148031.1	277089300	2	8553104.12222222	360617782.122222	842382656.538889	-481764874.416667	-204675574.416667	8.04192708333333	7.95807291666667	CM148031.1
Bothrops_insularis	CM148032.1	206948674	3	8553104.12222222	646260187.244445	842382656.538889	-196122469.294444	10826204.7055556	8.04192708333333	7.95807291666667	CM148032.1
Bothrops_insularis	CM148033.1	122531265	4	8553104.12222222	861761966.366667	842382656.538889	19379309.8277779	141910574.827778	8.04192708333333	7.95807291666667	CM148033.1
Bothrops_insularis	CM148034.1	100104857	5	8553104.12222222	992846336.488889	842382656.538889	150463679.95	250568536.95	8.04192708333333	7.95807291666667	CM148034.1
