Chr	Start	End	fill	species	size	color
1	0	352152128	cccccc	B_ins	12	black
2	0	279938784	cccccc	B_ins	12	black
3	0	206955912	cccccc	B_ins	12	black
4	0	138394576	cccccc	B_ins	12	black
5	0	122534993	cccccc	B_ins	12	black
6	0	100144331	cccccc	B_ins	12	black
7	0	88848289	cccccc	B_ins	12	black
8	0	82184716	cccccc	B_ins	12	black
9	0	24375633	cccccc	B_ins	12	black
10	0	22207440	cccccc	B_ins	12	black
11	0	19746646	cccccc	B_ins	12	black
12	0	18318580	cccccc	B_ins	12	black
13	0	17755719	cccccc	B_ins	12	black
14	0	17602211	cccccc	B_ins	12	black
15	0	14071536	cccccc	B_ins	12	black
16	0	13870031	cccccc	B_ins	12	black
17	0	13662181	cccccc	B_ins	12	black
18	0	11461905	cccccc	B_ins	12	black
