Species_1	Start_1	End_1	Species_2	Start_2	End_2	fill
1	65746531	65838890	1	251150794	251265507	placeholder
1	148936096	149069608	1	173113145	173259793	placeholder
8	42966448	43092062	8	53418142	53537053	placeholder
5	21571446	21593801	5	90000264	90025841	placeholder
1	198202236	198243518	1	128820952	128861819	placeholder
2	191945511	192002093	2	71661438	71720884	placeholder
14	14408711	14503783	14	17160068	17248657	placeholder
4	22456142	22582721	4	94479079	94574266	placeholder
1	270038753	270125470	1	60420205	60509733	placeholder
1	126070166	126166134	1	193986441	194044659	placeholder
14	5859568	5915779	14	7773490	7824621	placeholder
7	41879020	42009147	7	40512380	40648354	placeholder
5	24709095	24743371	5	86801355	86839941	placeholder
1	239740195	239799764	1	89983005	90074305	placeholder
4	56879587	56937975	4	69491423	69545623	placeholder
3	64068408	64111453	3	69993138	70026766	placeholder
3	65933528	65979642	3	71988959	72023914	placeholder
2	47369246	47409108	2	184837195	184887463	placeholder
3	197899120	197959211	3	194967369	195020885	placeholder
2	198317496	198392263	2	65614427	65649002	placeholder
5	77784247	77837529	5	37979958	37995337	placeholder
12	11705357	11955692	12	8649068	8910356	placeholder
1	40467695	40605557	1	277130286	277265147	placeholder
16	10002106	10041753	15	11448016	11518155	placeholder
3	153841800	153945808	3	150356340	150471009	placeholder
13	13692774	13730122	10	19593497	19642478	placeholder
8	55648999	55715066	8	71622371	71641638	placeholder
17	7820850	7849822	16	5355945	5394613	placeholder
1	227650323	227674007	1	101600203	101623783	placeholder
1	55495909	55568752	1	261681984	261750517	placeholder
17	1875274	1969990	16	1789770	1867504	placeholder
1	337045295	337197606	1	3960967	4080759	placeholder
2	152269843	152317762	2	110149778	110188883	placeholder
1	173115847	173225833	1	150121473	150207063	placeholder
7	88785669	88883444	7	66874647	66960123	placeholder
1	226244444	226301853	1	102797613	102857260	placeholder
7	30649792	30742536	7	29958146	30032882	placeholder
16	13020831	13048086	15	58451	103677	placeholder
1	254251440	254273160	1	76163483	76188250	placeholder
1	340441203	340457170	1	551611	568973	placeholder
7	15905138	16030611	7	16115057	16256608	placeholder
1	63230614	63248112	1	253951092	253981717	placeholder
1	139247389	139332755	1	181970044	182013332	placeholder
15	14731807	14746046	13	3102533	3123257	placeholder
5	52903400	52945682	5	57499397	57550561	placeholder
4	19829077	19898892	4	101686502	101756309	placeholder
1	143309865	143409578	1	178308117	178407529	placeholder
2	90211784	90306194	3	115578477	115696318	placeholder
16	8925450	9028643	15	9485339	9624530	placeholder
2	103475212	103503025	2	153432363	153447643	placeholder
4	57144996	57220345	4	69275557	69334312	placeholder
6	85593186	85678509	6	72261117	72331317	placeholder
2	243389519	243490749	2	23072088	23146943	placeholder
16	11856908	11882451	15	1728948	1758628	placeholder
1	333403470	333571816	1	5859314	5979861	placeholder
7	29771975	29948810	7	29048585	29227258	placeholder
14	1843998	1869919	14	2537371	2571158	placeholder
1	270326380	270370401	1	60149161	60198375	placeholder
5	38723730	38762385	5	72305308	72347531	placeholder
1	17345116	17409434	1	299462407	299524097	placeholder
1	276478812	276524718	1	53827719	53883425	placeholder
16	10138522	10204439	15	11720700	11811586	placeholder
1	217716540	217754577	1	110954889	110998403	placeholder
1	273477741	273804175	1	56644450	56941558	placeholder
6	30925131	30997296	6	29992650	30076991	placeholder
2	67273630	67354026	2	164452771	164543951	placeholder
1	257698906	257750749	1	72534562	72541676	placeholder
8	41225517	41275540	8	54963517	55008121	placeholder
15	4578186	4642046	13	13801410	13851920	placeholder
2	156393146	156424112	2	106135012	106170695	placeholder
1	71974059	72090517	1	245158500	245211063	placeholder
6	89352107	89457309	6	75998203	76132497	placeholder
3	87273107	87430496	3	93502375	93702157	placeholder
8	21681298	21700178	8	21422732	21444414	placeholder
5	119878978	119912385	5	9400542	9440511	placeholder
7	31477671	31525503	7	30797533	30844997	placeholder
1	41301800	41347926	1	276329475	276371389	placeholder
4	93612604	93700625	4	42621626	42748598	placeholder
6	97386734	97463640	6	79775129	79885055	placeholder
1	130705502	130730074	1	189759697	189785320	placeholder
14	10099259	10150034	14	12458973	12495638	placeholder
1	39647603	39686272	1	278042682	278085881	placeholder
2	158407906	158505750	2	104220883	104328082	placeholder
15	6795598	6816406	13	11261822	11280806	placeholder
1	116661377	116673484	1	203016145	203034136	placeholder
2	217968864	218317612	2	46007788	46320346	placeholder
14	14554076	14601311	14	18615687	18671323	placeholder
1	65642528	65680170	1	251327363	251370370	placeholder
1	277621622	277638293	1	52753468	52783030	placeholder
10	16434487	16447306	11	9513110	9527023	placeholder
15	1758966	1793963	13	18317858	18381746	placeholder
7	21239400	21296110	7	20997824	21071946	placeholder
2	155944757	155999368	2	106541071	106626185	placeholder
1	265601318	265694508	1	64778830	64876216	placeholder
7	89923509	89977359	7	65740641	65784414	placeholder
3	57057604	57110484	3	62609086	62663750	placeholder
7	46611936	46651584	7	44130924	44173605	placeholder
5	85860881	85961163	5	34231216	34299278	placeholder
14	16075595	16123807	14	17093650	17152146	placeholder
19	5983239	6019948	18	10463293	10492138	placeholder
8	75119664	75143890	8	62143984	62171463	placeholder
17	10092750	10111182	16	2997478	3044836	placeholder
3	25696020	25727393	3	27763843	27795106	placeholder
1	18148351	18207975	1	298803265	298847697	placeholder
1	286115006	286261800	1	43942100	44126792	placeholder
8	74273556	74304933	8	63023851	63053944	placeholder
1	116303632	116347770	1	203330997	203410042	placeholder
14	6397046	6421387	14	8424089	8453510	placeholder
13	474334	546105	10	896031	939236	placeholder
1	339620078	339678289	1	1183936	1216525	placeholder
2	199267891	199304830	2	64713237	64765948	placeholder
1	340401255	340412468	1	604697	614401	placeholder
14	8248162	8293241	14	10562757	10603465	placeholder
1	13668449	13726046	1	302642930	302690292	placeholder
3	152339458	152404353	3	148735116	148797900	placeholder
5	8042920	8068159	5	102728159	102749904	placeholder
2	133124550	133156532	2	122372596	122400787	placeholder
