Chr	Start	End	fill	species	size	color
1	0	361990100	cccccc	C_gas	12	black
2	0	284484340	cccccc	C_gas	12	black
3	0	214149504	cccccc	C_gas	12	black
4	0	135322495	cccccc	C_gas	12	black
5	0	124448698	cccccc	C_gas	12	black
6	0	103236848	cccccc	C_gas	12	black
7	0	91679464	cccccc	C_gas	12	black
8	0	78630896	cccccc	C_gas	12	black
9	0	55690190	cccccc	C_gas	12	black
10	0	26389824	cccccc	C_gas	12	black
11	0	25291225	cccccc	C_gas	12	black
12	0	23100534	cccccc	C_gas	12	black
13	0	20965214	cccccc	C_gas	12	black
14	0	20653912	cccccc	C_gas	12	black
15	0	16924964	cccccc	C_gas	12	black
16	0	13162997	cccccc	C_gas	12	black
17	0	10210651	cccccc	C_gas	12	black
18	0	9234244	cccccc	C_gas	12	black
19	0	8103192	cccccc	C_gas	12	black
