Species_1	Start_1	End_1	Species_2	Start_2	End_2	fill
1	65746531	65838890	1	70893588	70917570	0d0887
1	148936096	149069608	1	154668956	154816789	0d0887
8	42966448	43092062	8	43449784	43574881	ad2793
5	21571446	21593801	5	22115255	22138579	7201a8
1	198202236	198243518	1	208065466	208115889	0d0887
2	191945511	192002093	2	93162866	93238646	2e0595
14	14408711	14503783	14	3061226	3171917	f58b47
4	22456142	22582721	4	23021031	23134452	5c01a6
1	270038753	270125470	1	280735417	280821458	0d0887
1	126070166	126166134	1	131644980	131709826	0d0887
14	5859568	5915779	14	14017908	14081600	f58b47
1	310054045	310226185	1	320586776	320742446	0d0887
7	41879020	42009147	7	48709250	48814864	9c179e
5	24709095	24743371	5	25495725	25533124	7201a8
1	239740195	239799764	1	249656660	249709206	0d0887
3	64068408	64111453	3	69073046	69111175	46039f
3	65933528	65979642	3	71053314	71099088	46039f
2	47369246	47409108	2	241922686	241978937	2e0595
3	197899120	197959211	3	210307379	210356303	46039f
2	198317496	198392263	2	86701062	86773872	2e0595
5	77784247	77837529	5	85721053	85738753	7201a8
12	11705357	11955692	12	10050167	10388051	e3685f
1	40467695	40605557	1	45120592	45252079	0d0887
16	10002106	10041753	15	12846878	12924078	fdb42f
3	153841800	153945808	3	163103488	163229434	46039f
13	13692774	13730122	11	5119002	5160843	ed7953
8	55648999	55715066	8	58039923	58096876	ad2793
17	7820850	7849822	17	2682090	2715688	fdca26
1	227650323	227674007	1	237532173	237554562	0d0887
1	55495909	55568752	1	60407593	60477097	0d0887
17	1875274	1969990	17	12067568	12175175	fdca26
1	337045295	337197606	1	350457518	350623829	0d0887
2	152269843	152317762	2	133785339	133831883	2e0595
1	173115847	173225833	1	180824292	181035265	0d0887
7	88785669	88883444	7	6405783	6503512	9c179e
1	226244444	226301853	1	236198679	236244497	0d0887
7	30649792	30742536	7	59001089	59088604	9c179e
16	13020831	13048086	15	17148352	17177647	fdb42f
1	254251440	254273160	1	264319928	264342260	0d0887
1	340441203	340457170	4	149723054	149739145	0d0887
7	15905138	16030611	7	74457604	74577318	9c179e
1	63230614	63248112	1	68248885	68276556	0d0887
1	139247389	139332755	1	145029350	145069729	0d0887
15	14731807	14746046	13	9223467	9249021	fb9f3a
5	52903400	52945682	5	53155160	53210987	7201a8
4	19829077	19898892	4	20183943	20272770	5c01a6
1	143309865	143409578	1	148960210	149062350	0d0887
2	90211784	90306194	2	199935039	200026962	2e0595
16	8925450	9028643	15	11336082	11478737	fdb42f
2	103475212	103503025	2	186582895	186596223	2e0595
4	57144996	57220345	4	67324135	67559564	5c01a6
6	85593186	85678509	6	22612853	22700622	8808a6
2	243389519	243490749	2	40283675	40389045	2e0595
16	11856908	11882451	15	15837678	15869356	fdb42f
1	333403470	333571816	1	346716506	346891708	0d0887
7	29771975	29948810	7	59712934	59879186	9c179e
14	1843998	1869919	14	19343324	19378464	f58b47
1	270326380	270370401	1	281056348	281097273	0d0887
5	38723730	38762385	5	39384267	39424927	7201a8
1	17345116	17409434	1	20995005	21132255	0d0887
1	276478812	276524718	1	287239972	287285223	0d0887
16	10138522	10204439	15	13085810	13189740	fdb42f
1	217716540	217754577	1	227491542	227531309	0d0887
1	273477741	273804175	1	284259825	284587395	0d0887
6	30925131	30997296	6	73041422	73114577	8808a6
2	67273630	67354026	2	221809346	221887634	2e0595
8	41225517	41275540	8	41888555	41933136	ad2793
15	4578186	4642046	13	21520617	21598523	fb9f3a
2	156393146	156424112	2	129554389	129583936	2e0595
1	71974059	72090517	1	77038870	77103861	0d0887
6	89352107	89457309	6	4514823	4861372	8808a6
3	87273107	87430496	3	93493940	93668235	46039f
8	21681298	21700178	8	22893519	22915073	ad2793
5	119878978	119912385	5	124561881	124593542	7201a8
7	31477671	31525503	7	58228029	58251087	9c179e
1	41301800	41347926	1	45997761	46040171	0d0887
4	93612604	93700625	4	101745926	101829650	5c01a6
6	97386734	97463640	6	13534841	13671320	8808a6
1	130705502	130730074	1	136268929	136297654	0d0887
14	10099259	10150034	14	8534987	8592493	f58b47
1	39647603	39686272	1	44446876	44483311	0d0887
6	70123998	70172573	6	35425691	35471133	8808a6
2	158407906	158505750	2	127491815	127602152	2e0595
2	100057344	100092342	2	190001525	190030272	2e0595
15	6795598	6816406	13	879083	906002	fb9f3a
1	116661377	116673484	1	121859531	121872596	0d0887
2	217968864	218317612	2	66729466	67056048	2e0595
14	14554076	14601311	14	2961816	3006839	f58b47
1	65642528	65680170	1	70734654	70768077	0d0887
1	277621622	277638293	1	288349716	288367463	0d0887
10	16434487	16447306	10	10262962	10274257	cc4778
2	84884676	84975111	2	204979362	205045637	2e0595
15	1758966	1793963	13	16062105	16148644	fb9f3a
7	21239400	21296110	7	68501554	68567553	9c179e
2	155944757	155999368	2	129965257	130022594	2e0595
1	265601318	265694508	1	276113036	276203540	0d0887
7	89923509	89977359	7	7727765	7777807	9c179e
3	57057604	57110484	3	61663907	61721895	46039f
7	46611936	46651584	7	45127540	45171752	9c179e
5	85860881	85961163	5	89623494	89700681	7201a8
14	16075595	16123807	14	1414132	1462269	f58b47
19	5983239	6019948	18	8344593	8379717	f0f921
8	75119664	75143890	8	78327196	78358206	ad2793
17	10092750	10111182	17	1151245	1182035	fdca26
3	25696020	25727393	3	29190122	29222473	46039f
1	18148351	18207975	1	21858661	21924278	0d0887
